User_id,first_seen,last_seen,total_events,is_converter,purchases,first_purchase,last_purchase,total_quantity,total_revenue,median_rate,days_active,events_per_day_active,has_purchased_ever,recency_days,frequency_purchases,events_before_first_purchase,days_to_first_purchase,events_in_7d_before_first_purchase,events_in_14d_before_first_purchase,events_in_30d_before_first_purchase,R_quartile,F_quartile,RF_segment
51725305614,2019-01-01 11:00:00,2019-11-28 21:26:00,23,1,2.0,2019-08-01 22:03:00,2019-11-28 21:26:00,7.0,4750.0,625.0,331,0.06948640483383686,1,23.0,2.0,17,212.0,0.0,0.0,0.0,4,2,42
51728632725,2019-10-18 19:18:00,2019-10-18 19:27:00,4,0,,,,,,,0,4.0,0,,0.0,4,,,,,,1,
51732222836,2019-02-11 15:11:00,2019-02-11 15:11:00,1,0,,,,,,,0,1.0,0,,0.0,1,,,,,,1,
51743891883,2019-02-11 12:57:00,2019-02-11 13:36:00,6,0,,,,,,,0,6.0,0,,0.0,6,,,,,,1,
51746374740,2019-10-11 15:50:00,2019-10-11 15:54:00,2,1,1.0,2019-10-11 15:54:00,2019-10-11 15:54:00,1.0,1800.0,1800.0,0,2.0,1,72.0,1.0,1,0.0,1.0,1.0,1.0,2,1,21
51762528321,2019-02-11 15:11:00,2019-02-11 15:43:00,5,0,,,,,,,0,5.0,0,,0.0,5,,,,,,1,
51767314403,2019-10-22 19:14:00,2019-10-22 19:15:00,2,0,,,,,,,0,2.0,0,,0.0,2,,,,,,1,
51768712908,2019-01-13 13:04:00,2019-10-30 14:22:00,13,1,1.0,2019-01-23 21:10:00,2019-01-23 21:10:00,4.0,2800.0,700.0,290,0.04482758620689655,1,332.0,1.0,9,10.0,1.0,9.0,9.0,1,1,11
51777317807,2019-10-21 12:00:00,2019-10-21 12:20:00,4,1,1.0,2019-10-21 12:20:00,2019-10-21 12:20:00,2.0,4500.0,2250.0,0,4.0,1,62.0,1.0,3,0.0,3.0,3.0,3.0,3,1,31
51777661967,2019-12-10 14:10:00,2019-12-10 14:18:00,2,0,,,,,,,0,2.0,0,,0.0,2,,,,,,1,
51784286337,2019-10-14 11:04:00,2019-10-14 11:14:00,3,0,,,,,,,0,3.0,0,,0.0,3,,,,,,1,
